timestamp,open,high,low,close
42346,123.365,123.393,122.684,122.89
42347,122.894,123.046,121.039,121.628
42348,121.631,121.867,121.21,121.648
42349,121.656,122.229,120.552,120.954
42352,121.072,121.353,120.309,120.907
42353,120.903,121.793,120.543,121.665
42354,121.668,122.431,121.377,122.324
42355,122.327,122.876,122.186,122.521
42356,122.521,123.574,121.037,121.146
42359,121.309,121.505,120.821,121.226
42360,121.235,121.31,120.693,121.029
42361,121.028,121.136,120.775,120.916
42362,120.917,120.983,120.212,120.28
42363,120.28,120.43,120.001,120.289
42366,120.256,120.63,120.139,120.364
42367,120.363,120.512,120.196,120.49
42368,120.492,120.654,120.311,120.51
42369,120.51,120.582,119.959,120.209
42370,120.203,120.3,120.203,120.203
42373,120.286,120.465,118.671,119.308
42374,119.312,119.7,118.76,119.116
42375,119.111,119.169,118.218,118.464
42376,118.461,118.756,117.296,117.593
42377,117.599,118.839,117.19,117.234
42380,116.817,118.025,116.78,117.702
42381,117.705,118.071,117.2,117.727
42382,117.729,118.38,117.567,117.63
42383,117.628,118.28,117.27,118.145
42384,118.14,118.27,116.48,116.98
42387,116.906,117.46,116.83,117.396
42388,117.396,118.114,117.218,117.616
42389,117.615,117.677,115.966,116.976
42390,116.978,117.854,116.433,117.777
42391,117.778,118.879,117.512,118.71
42394,118.739,118.855,118.149,118.335
42395,118.341,118.621,117.627,118.443
42396,118.445,119.07,118.006,118.585
42397,118.59,118.991,118.379,118.786
42398,118.782,121.689,118.48,121.14
42401,121.388,121.51,120.642,121.014
42402,121.015,121.019,119.66,119.743
42403,119.744,120.045,117.012,118.054
42404,118.058,118.241,116.495,116.867
42405,116.868,117.429,116.295,116.808
42408,116.926,117.525,115.147,115.483
42409,115.479,115.737,114.202,115.106
42410,115.106,115.26,113.111,113.486
42411,113.515,113.556,110.963,112.549
42412,112.541,113.54,111.638,113.236
42415,113.531,114.731,113.24,114.448
42416,114.451,114.876,113.574,114.219
42417,114.212,114.503,113.35,114.099
42418,114.086,114.324,113.105,113.316
42419,113.321,113.377,112.269,112.603
42422,112.582,113.387,112.389,112.916
42423,112.917,113.052,111.743,111.983
42424,111.983,112.264,111.03,112.043
42425,112.042,113.023,111.856,112.905
42426,112.904,114,112.527,113.975
42429,113.69,113.856,112.16,112.326
42430,112.329,114.184,112.134,114.045
42431,114.043,114.553,113.183,113.6
42432,113.603,114.268,113.27,113.715
42433,113.72,114.257,113.126,113.735
42436,113.848,113.885,113.191,113.36
42437,113.361,113.52,112.404,112.675
42438,112.672,113.454,112.2,113.303
42439,113.304,114.445,112.6,113.153
42440,113.148,113.96,112.749,113.96
42443,113.699,114.007,113.469,113.78
42444,113.785,114.143,112.62,113.198
42445,113.195,113.819,112.299,112.756
42446,112.757,112.959,110.632,111.407
42447,111.404,111.758,110.78,111.543
42450,111.519,112.158,111.197,112.12
42451,112.12,112.492,111.37,112.318
42452,112.313,112.907,112.107,112.378
42453,112.385,113.007,112.259,112.782
42454,112.774,113.323,112.716,113.049
42457,113.371,113.687,113.108,113.44
42458,113.435,113.803,112.569,112.787
42459,112.784,112.791,111.981,112.454
42460,112.454,112.663,112.078,112.532
42461,112.532,112.581,111.553,111.64
42464,111.753,111.83,111.06,111.289
42465,111.292,111.294,109.944,110.284
42466,110.285,110.641,109.333,109.725
